Disease,Primary Antibiotic,Alternate Antibiotic 1,Alternate Antibiotic 2,Reason for Recommendation
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Ceftriaxone,Erythromycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Ceftriaxone,Metronidazole,Levofloxacin,Effective against common pathogens causing this disease.
bacterial_meningitis,Azithromycin,Ciprofloxacin,Levofloxacin,Effective against common pathogens causing this disease.
strep_throat,Amoxicillin,Linezolid,Levofloxacin,Chosen for its targeted activity and minimal side effects.
pyelonephritis,Ceftriaxone,Clindamycin,Levofloxacin,Effective against common pathogens causing this disease.
sinusitis,Ceftriaxone,Linezolid,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
cholera,Azithromycin,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Ceftriaxone,Metronidazole,Gentamicin,Effective against common pathogens causing this disease.
ear_infection,Azithromycin,Metronidazole,Levofloxacin,Chosen for its targeted activity and minimal side effects.
osteomyelitis,Amoxicillin,Erythromycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
whooping_cough,Ceftriaxone,Clindamycin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Vancomycin,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Ceftriaxone,Erythromycin,Gentamicin,Effective against common pathogens causing this disease.
chlamydia,Azithromycin,Metronidazole,Rifampin,Recommended based on clinical guidelines and resistance patterns.
scarlet_fever,Vancomycin,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Azithromycin,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Azithromycin,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
urinary_tract_infection,Azithromycin,Ciprofloxacin,Ampicillin,Chosen for its targeted activity and minimal side effects.
campylobacteriosis,Vancomycin,Clindamycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Vancomycin,Erythromycin,Gentamicin,Effective against common pathogens causing this disease.
diphtheria,Doxycycline,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Doxycycline,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Ceftriaxone,Clindamycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
pyelonephritis,Azithromycin,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
sinusitis,Azithromycin,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
cholera,Ceftriaxone,Erythromycin,Ampicillin,Effective against common pathogens causing this disease.
legionnaires_disease,Ceftriaxone,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
ear_infection,Doxycycline,Erythromycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Doxycycline,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
whooping_cough,Amoxicillin,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Ceftriaxone,Clindamycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Doxycycline,Linezolid,Rifampin,Chosen for its targeted activity and minimal side effects.
chlamydia,Ceftriaxone,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Azithromycin,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
skin_abscess,Vancomycin,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Azithromycin,Clindamycin,Ampicillin,Effective against common pathogens causing this disease.
urinary_tract_infection,Ceftriaxone,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Doxycycline,Metronidazole,Tetracycline,Effective against common pathogens causing this disease.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
diphtheria,Azithromycin,Clindamycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Azithromycin,Erythromycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Azithromycin,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Amoxicillin,Linezolid,Levofloxacin,Effective against common pathogens causing this disease.
sinusitis,Vancomycin,Linezolid,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Ceftriaxone,Clindamycin,Ampicillin,Effective against common pathogens causing this disease.
legionnaires_disease,Amoxicillin,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
ear_infection,Vancomycin,Linezolid,Ampicillin,Effective against common pathogens causing this disease.
osteomyelitis,Vancomycin,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
whooping_cough,Vancomycin,Metronidazole,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
tuberculosis,Doxycycline,Erythromycin,Ampicillin,Effective against common pathogens causing this disease.
bacterial_endocarditis,Amoxicillin,Erythromycin,Gentamicin,Effective against common pathogens causing this disease.
chlamydia,Ceftriaxone,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Vancomycin,Linezolid,Levofloxacin,Effective against common pathogens causing this disease.
skin_abscess,Azithromycin,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
typhoid_fever,Ceftriaxone,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Ceftriaxone,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
campylobacteriosis,Doxycycline,Erythromycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Azithromycin,Clindamycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
diphtheria,Azithromycin,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Amoxicillin,Ciprofloxacin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
strep_throat,Azithromycin,Metronidazole,Levofloxacin,Effective against common pathogens causing this disease.
pyelonephritis,Ceftriaxone,Linezolid,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Azithromycin,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
cholera,Doxycycline,Ciprofloxacin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Vancomycin,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
ear_infection,Doxycycline,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Amoxicillin,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
whooping_cough,Doxycycline,Clindamycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
tuberculosis,Vancomycin,Ciprofloxacin,Levofloxacin,Effective against common pathogens causing this disease.
bacterial_endocarditis,Ceftriaxone,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Ceftriaxone,Linezolid,Rifampin,Minimizes risk of resistance while effectively treating the infection.
scarlet_fever,Vancomycin,Clindamycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Amoxicillin,Linezolid,Ampicillin,Effective against common pathogens causing this disease.
typhoid_fever,Vancomycin,Clindamycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
urinary_tract_infection,Azithromycin,Erythromycin,Levofloxacin,Effective against common pathogens causing this disease.
campylobacteriosis,Azithromycin,Linezolid,Tetracycline,Chosen for its targeted activity and minimal side effects.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Ceftriaxone,Linezolid,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
diphtheria,Azithromycin,Linezolid,Rifampin,Chosen for its targeted activity and minimal side effects.
bacterial_meningitis,Doxycycline,Linezolid,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
strep_throat,Doxycycline,Ciprofloxacin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Doxycycline,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
sinusitis,Ceftriaxone,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
cholera,Doxycycline,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Amoxicillin,Linezolid,Rifampin,Chosen for its targeted activity and minimal side effects.
ear_infection,Amoxicillin,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Amoxicillin,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
whooping_cough,Azithromycin,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Vancomycin,Clindamycin,Levofloxacin,Effective against common pathogens causing this disease.
bacterial_endocarditis,Doxycycline,Ciprofloxacin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Vancomycin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Azithromycin,Erythromycin,Gentamicin,Effective against common pathogens causing this disease.
skin_abscess,Ceftriaxone,Erythromycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
